HUC_10,NAME,Length_m,Rating,
401010205,LOWER CROWSNEST RIVER,534,ZERO,
401010205,LOWER CROWSNEST RIVER,221,ZERO,
401010205,LOWER CROWSNEST RIVER,1186,ZERO,
401010205,LOWER CROWSNEST RIVER,305,ZERO,
401010205,LOWER CROWSNEST RIVER,557,ZERO,
401010205,LOWER CROWSNEST RIVER,465,ZERO,
401010205,LOWER CROWSNEST RIVER,1156,ZERO,
401010205,LOWER CROWSNEST RIVER,27,ZERO,
401010205,LOWER CROWSNEST RIVER,97,ZERO,
401010205,LOWER CROWSNEST RIVER,768,ZERO,
401010205,LOWER CROWSNEST RIVER,202,ZERO,
401010205,LOWER CROWSNEST RIVER,1028,ZERO,
401010205,LOWER CROWSNEST RIVER,1445,ZERO,
401010205,LOWER CROWSNEST RIVER,1382,ZERO,
401010205,LOWER CROWSNEST RIVER,450,ZERO,
401010205,LOWER CROWSNEST RIVER,2238,ZERO,
401010205,LOWER CROWSNEST RIVER,1564,ZERO,
401010205,LOWER CROWSNEST RIVER,731,ZERO,
401010205,LOWER CROWSNEST RIVER,753,ZERO,
401010205,LOWER CROWSNEST RIVER,527,ZERO,
401010205,LOWER CROWSNEST RIVER,197,ZERO,
401010205,LOWER CROWSNEST RIVER,206,ZERO,
401010205,LOWER CROWSNEST RIVER,103,ZERO,
401010205,LOWER CROWSNEST RIVER,32,ZERO,
401010205,LOWER CROWSNEST RIVER,204,ZERO,
401010205,LOWER CROWSNEST RIVER,220,ZERO,
401010205,LOWER CROWSNEST RIVER,240,ZERO,
401010205,LOWER CROWSNEST RIVER,500,ZERO,
401010205,LOWER CROWSNEST RIVER,674,ZERO,
401010205,LOWER CROWSNEST RIVER,1322,ZERO,
401010205,LOWER CROWSNEST RIVER,52,ZERO,
401010205,LOWER CROWSNEST RIVER,247,ZERO,
401010205,LOWER CROWSNEST RIVER,189,ZERO,
401010205,LOWER CROWSNEST RIVER,277,ZERO,
401010205,LOWER CROWSNEST RIVER,735,ZERO,
401010205,LOWER CROWSNEST RIVER,374,ZERO,
401010205,LOWER CROWSNEST RIVER,279,ZERO,
401010205,LOWER CROWSNEST RIVER,213,ZERO,
401010205,LOWER CROWSNEST RIVER,97,ZERO,
